person_id,runtime_cohort,physical_leg_mode,routing_choice_mode,previous_root_cause,planned_departure,realized_departure,waiting_start,waiting_duration_to_48h,waiting_stop,destination_stop,previously_boarded,previously_alighted,last_vehicle,last_line,last_route,scheduled_services_at_stop,scheduled_later_services,later_compatible_services,last_service,last_compatible_service,wait_after_service_end,wait_after_compatible_service_end,actual_later_vehicle_passes,actual_compatible_passes,first_actual_compatible_pass,classification,confirmed_pipeline_error
"1044188",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,69420.000,107966.000,107966.000,64834.000,"142500.1","102334.2",true,true,"tr_1241","XXX---162308_101","XXX---162308_101_0",229,0,0,86640.000,84600.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"105053",munich_resident,pt,pt,PT_NEVER_BOARDED,2135.000,33921.000,33921.000,138879.000,"108742","106051",false,false,"","","",199,157,0,89580.000,15300.000,false,true,157,0,,NO_COMPATIBLE_CONNECTION,false
"1055531",regional_background,walk,pt,PT_NEVER_BOARDED,80890.000,122234.000,122234.000,50566.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1057331",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,38400.000,49334.000,49334.000,123466.000,"103537","168871",true,true,"tr_38575","XXX---2270886_3","XXX---2270886_3_5",14,4,0,64680.000,46320.000,false,true,4,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1057995",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,55740.000,59202.000,59202.000,113598.000,"102023","168810",true,true,"tr_2029","XXX---162443_106","XXX---162443_106_24",236,79,0,88140.000,58440.000,false,true,79,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1062052",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,25920.000,61896.000,61896.000,110904.000,"104298.1","104838",true,true,"tr_16825","XXX---2255012_3","XXX---2255012_3_24",18,4,0,65700.000,27600.000,false,true,4,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1065610",regional_background,pt,pt,PT_NEVER_BOARDED,12565.000,74518.000,74518.000,98282.000,"9673.2","106077.8",false,false,"","","",43,5,5,84060.000,84060.000,false,false,5,5,75780.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1068544",regional_background,pt,pt,PT_NEVER_BOARDED,29125.000,30809.000,30809.000,141991.000,"101742.1","104818.1",false,false,"","","",30,24,24,89040.000,89040.000,false,false,24,24,31800.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1075404",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,34440.000,41531.000,41531.000,131269.000,"149427","140338",true,true,"tr_3417","XXX---162461_109","XXX---162461_109_15",8,5,0,67920.000,36000.000,false,true,5,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1088332",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,18540.000,91100.000,91100.000,81700.000,"106060.1","5485.1",true,true,"tr_40038","XXX---2271997_1","XXX---2271997_1_14",537,0,0,89700.000,87000.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1090153",regional_background,pt,pt,PT_NEVER_BOARDED,10300.000,65087.000,65087.000,107713.000,"108994.1","106273.2",false,false,"","","",172,43,0,91110.000,14610.000,false,true,43,0,,NO_COMPATIBLE_CONNECTION,false
"109045",munich_resident,pt,pt,PT_NEVER_BOARDED,50319.000,55168.000,55168.000,117632.000,"9565","9573",false,false,"","","",2,0,0,53400.000,53400.000,true,true,0,0,,NO_LATER_SERVICE,false
"1091069",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,17940.000,92559.000,92559.000,80241.000,"107995.1","109954.1",true,true,"tr_39638","XXX---2271996_1","XXX---2271996_1_9",252,0,0,90510.000,90510.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1092363",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,31080.000,85840.000,85840.000,86960.000,"108497.1","5797.3",true,true,"tr_39478","XXX---2271996_1","XXX---2271996_1_1",68,0,0,85380.000,85380.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1095498",regional_background,walk,pt,PT_NEVER_BOARDED,49655.000,63897.000,63897.000,108903.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1098520",regional_background,pt,pt,PT_NEVER_BOARDED,15440.000,67040.000,67040.000,105760.000,"106138","106056.1",false,false,"","","",4,0,0,15630.000,15630.000,true,true,0,0,,NO_LATER_SERVICE,false
"1099539",regional_background,pt,pt,PT_NEVER_BOARDED,18349.000,92303.000,92303.000,80497.000,"108428","106281",false,false,"","","",193,0,0,90120.000,79560.000,true,true,0,0,,NO_LATER_SERVICE,false
"1102701",regional_background,pt,pt,PT_NEVER_BOARDED,10877.000,66225.000,66225.000,106575.000,"108541","106051",false,false,"","","",199,48,0,89220.000,14970.000,false,true,48,0,,NO_COMPATIBLE_CONNECTION,false
"1116438",regional_background,pt,pt,PT_NEVER_BOARDED,5895.000,78543.000,78543.000,94257.000,"109045.2","106054",false,false,"","","",65,11,0,91470.000,14130.000,false,true,11,0,,NO_COMPATIBLE_CONNECTION,false
"1118219",regional_background,pt,pt,PT_NEVER_BOARDED,11397.000,70507.000,70507.000,102293.000,"106077.7","5713.1",false,false,"","","",98,15,0,86220.000,20280.000,false,true,15,0,,NO_COMPATIBLE_CONNECTION,false
"112721",munich_resident,pt,pt,PT_NEVER_BOARDED,5775.000,61991.000,61991.000,110809.000,"109389","106050",false,false,"","","",113,37,0,88800.000,14760.000,false,true,37,0,,NO_COMPATIBLE_CONNECTION,false
"1131513",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,59657.000,63211.000,63211.000,109589.000,"9964.2","157723.1",true,true,"tr_1502","XXX---162424_106","XXX---162424_106_135",1,0,0,59700.000,59700.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1140858",regional_background,pt,pt,PT_NEVER_BOARDED,9467.000,71216.000,71216.000,101584.000,"108879","106053",false,false,"","","",110,23,0,90390.000,15480.000,false,true,23,0,,NO_COMPATIBLE_CONNECTION,false
"11464",regional_background,pt,pt,PT_NEVER_BOARDED,30400.000,31706.000,31706.000,141094.000,"168633","169016",false,false,"","","",4,2,0,66360.000,30540.000,false,true,2,0,,NO_COMPATIBLE_CONNECTION,false
"1153751",regional_background,pt,pt,PT_NEVER_BOARDED,10166.000,67288.000,67288.000,105512.000,"108287.1","108202.1",false,false,"","","",3,0,0,15240.000,15240.000,true,true,0,0,,NO_LATER_SERVICE,false
"1153921",regional_background,pt,pt,PT_NEVER_BOARDED,4407.000,59702.000,59702.000,113098.000,"106258.1","106382.2",false,false,"","","",321,122,86,91200.000,91200.000,false,false,122,86,59910.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1155807",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,17280.000,91880.000,91880.000,80920.000,"108495","6106",true,true,"tr_39638","XXX---2271996_1","XXX---2271996_1_9",60,0,0,90300.000,85500.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1157698",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,25560.000,86697.000,86697.000,86103.000,"5973","6082",true,true,"tr_3075","XXX---162458_109","XXX---162458_109_28",189,1,0,87360.000,84480.000,false,true,1,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1162599",regional_background,pt,pt,PT_NEVER_BOARDED,24445.000,99815.000,99815.000,72985.000,"13324","12795.12",false,false,"","","",2,0,0,27540.000,25380.000,true,true,0,0,,NO_LATER_SERVICE,false
"1172917",regional_background,pt,pt,PT_NEVER_BOARDED,39897.000,49141.000,49141.000,123659.000,"22112","22144.6",false,false,"","","",1,0,0,40800.000,40800.000,true,true,0,0,,NO_LATER_SERVICE,false
"1174029",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,47700.000,54609.000,54609.000,118191.000,"167868.8","168197.1",true,true,"tr_9188","XXX---2233222_3","XXX---2233222_3_22",2,0,0,47700.000,47700.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1185004",regional_background,walk,pt,PT_NEVER_BOARDED,63520.000,63520.000,63520.000,109280.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1191459",regional_background,pt,pt,PT_NEVER_BOARDED,12969.000,78693.000,78693.000,94107.000,"104292.2","102028.2",false,false,"","","",26,1,0,81780.000,65760.000,false,true,1,0,,NO_COMPATIBLE_CONNECTION,false
"1191874",regional_background,pt,pt,PT_NEVER_BOARDED,41183.000,48095.000,48095.000,124705.000,"69490.2","65628",false,false,"","","",12,5,0,59100.000,42300.000,false,true,5,0,,NO_COMPATIBLE_CONNECTION,false
"1192681",regional_background,pt,pt,PT_NEVER_BOARDED,41621.000,52036.000,52036.000,120764.000,"65517.1","65505",false,false,"","","",10,4,0,71700.000,43200.000,false,true,4,0,,NO_COMPATIBLE_CONNECTION,false
"1193493",regional_background,walk,pt,PT_NEVER_BOARDED,61369.000,61369.000,61369.000,111431.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1198684",regional_background,pt,pt,PT_NEVER_BOARDED,49557.000,54346.000,54346.000,118454.000,"175693.1","156131.1",false,false,"","","",11,4,0,63660.000,49800.000,false,true,4,0,,NO_COMPATIBLE_CONNECTION,false
"1201990",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,40800.000,60500.000,60500.000,112300.000,"127244","128023",true,true,"tr_13393","XXX---2249910_3","XXX---2249910_3_0",9,1,0,67740.000,43440.000,false,true,1,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1215193",regional_background,pt,pt,PT_NEVER_BOARDED,60410.000,61743.000,61743.000,111057.000,"69726","69738",false,false,"","","",4,0,0,61260.000,61260.000,true,true,0,0,,NO_LATER_SERVICE,false
"1216978",regional_background,pt,pt,PT_NEVER_BOARDED,38609.000,45323.000,45323.000,127477.000,"176004","69546.3",false,false,"","","",2,0,0,44220.000,44220.000,true,true,0,0,,NO_LATER_SERVICE,false
"1220803",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,38145.000,52316.000,52316.000,120484.000,"102105.1","69546.3",true,true,"tr_6125","XXX---2167616_3","XXX---2167616_3_2",7,2,0,62700.000,44100.000,false,true,2,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1228380",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,49384.000,63743.000,63743.000,109057.000,"102243.2","70654",true,true,"tr_1131","XXX---162195_2","XXX---162195_2_14",2,0,0,60840.000,60840.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1229293",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,57163.000,57341.000,57341.000,115459.000,"70881.2","181967.1",true,true,"tr_5457","XXX---1989749_3","XXX---1989749_3_0",3,1,0,82440.000,57300.000,false,true,1,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1229363",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,57600.000,71863.000,71863.000,100937.000,"102532","156780",true,true,"tr_1421","XXX---162424_106","XXX---162424_106_82",5,0,0,64920.000,64920.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1229490",regional_background,pt,pt,PT_NEVER_BOARDED,40839.000,42616.000,42616.000,130184.000,"84679.1","163082",false,false,"","","",5,1,0,53220.000,41520.000,false,true,1,0,,NO_COMPATIBLE_CONNECTION,false
"123160",munich_resident,pt,pt,PT_NEVER_BOARDED,1488.000,59831.000,59831.000,112969.000,"108831","106047.3",false,false,"","","",114,41,40,89430.000,88230.000,false,false,41,40,60300.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1237091",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,52140.000,63705.000,63705.000,109095.000,"70789.1","156844.1",true,true,"tr_39029","XXX---2271035_3","XXX---2271035_3_16",4,0,0,57300.000,57300.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1237110",regional_background,pt,pt,PT_NEVER_BOARDED,35419.000,83213.000,83213.000,89587.000,"107753","106951",false,false,"","","",190,6,0,89220.000,80820.000,false,true,6,0,,NO_COMPATIBLE_CONNECTION,false
"1243416",regional_background,pt,pt,PT_NEVER_BOARDED,35659.000,72470.000,72470.000,100330.000,"175700","102104",false,false,"","","",17,0,0,72120.000,72120.000,true,true,0,0,,NO_LATER_SERVICE,false
"1244281",regional_background,walk,pt,PT_NEVER_BOARDED,65862.000,79228.000,79228.000,93572.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"125894",munich_resident,pt,pt,PT_BOARDED_NOT_ARRIVED,5280.000,57444.000,57444.000,115356.000,"106051","106264",true,true,"tr_3483","XXX---162462_109","XXX---162462_109_1",4,0,0,16500.000,16500.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1259561",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,80700.000,80733.000,80733.000,92067.000,"106077.7","106104.3",true,true,"tr_58683","XXX---232602_2","XXX---232602_2_2",98,14,14,86220.000,86220.000,false,false,14,14,81180.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1262543",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,33780.000,50770.000,50770.000,122030.000,"22821.1","101743",true,true,"tr_17081","XXX---2255041_3","XXX---2255041_3_4",13,5,0,69600.000,42300.000,false,true,5,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1262775",regional_background,pt,pt,PT_NEVER_BOARDED,28728.000,38743.000,38743.000,134057.000,"128163.2","127378.2",false,false,"","","",4,0,0,30360.000,30360.000,true,true,0,0,,NO_LATER_SERVICE,false
"1267257",regional_background,pt,pt,PT_NEVER_BOARDED,45497.000,53965.000,53965.000,118835.000,"136313","136319.2",false,false,"","","",4,0,0,53700.000,53700.000,true,true,0,0,,NO_LATER_SERVICE,false
"1268291",regional_background,pt,pt,PT_NEVER_BOARDED,3027.000,71332.000,71332.000,101468.000,"157646","22807",false,false,"","","",15,2,2,77040.000,77040.000,false,false,2,2,73440.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1277754",regional_background,walk,pt,PT_NEVER_BOARDED,84145.000,84145.000,84145.000,88655.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1296861",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,48540.000,69527.000,69527.000,103273.000,"101847","164899.1",true,true,"tr_2436","XXX---162452_106_3","XXX---162452_106_3_9",13,0,0,64740.000,50100.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1298999",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,55620.000,57309.000,57309.000,115491.000,"127280","128584.1",true,true,"tr_13801","XXX---2249919_0","XXX---2249919_0_0",101,39,0,84000.000,55680.000,false,true,39,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1303856",regional_background,pt,pt,PT_NEVER_BOARDED,24928.000,96523.000,96523.000,76277.000,"22874","22820.2",false,false,"","","",26,0,0,66720.000,66720.000,true,true,0,0,,NO_LATER_SERVICE,false
"130541",munich_resident,pt,pt,PT_NEVER_BOARDED,6782.000,38507.000,38507.000,134293.000,"106054","107752",false,false,"","","",3,0,0,16770.000,16770.000,true,true,0,0,,NO_LATER_SERVICE,false
"1311438",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,54420.000,63444.000,63444.000,109356.000,"140573.1","128550",true,true,"tr_35143","XXX---2269731_3","XXX---2269731_3_29",6,1,0,72300.000,54840.000,false,true,1,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1322138",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,48180.000,58959.000,58959.000,113841.000,"101829.3","164892",true,true,"tr_2425","XXX---162452_106_3","XXX---162452_106_3_3",5,2,0,61920.000,55740.000,false,true,2,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1322279",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,50940.000,72459.000,72459.000,100341.000,"101829.3","128848",true,true,"tr_2430","XXX---162452_106_3","XXX---162452_106_3_8",5,0,0,61920.000,55740.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1329596",regional_background,pt,pt,PT_NEVER_BOARDED,4051.000,53730.000,53730.000,119070.000,"106138","106056.1",false,false,"","","",4,0,0,15630.000,15630.000,true,true,0,0,,NO_LATER_SERVICE,false
"1334706",regional_background,pt,pt,PT_NEVER_BOARDED,47625.000,62898.000,62898.000,109902.000,"22538","102475",false,false,"","","",81,9,0,68940.000,57180.000,false,true,9,0,,NO_COMPATIBLE_CONNECTION,false
"1352588",regional_background,pt,pt,PT_NEVER_BOARDED,22266.000,106520.000,106520.000,66280.000,"109557.1","106130.21",false,false,"","","",77,0,0,86160.000,86160.000,true,true,0,0,,NO_LATER_SERVICE,false
"1352929",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,24558.000,84543.000,84543.000,88257.000,"11108.1","11412",true,true,"tr_3256","XXX---162460_109","XXX---162460_109_13",49,0,0,77040.000,71640.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1353294",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,52059.000,62938.000,62938.000,109862.000,"20814.1","20984",true,true,"tr_7321","XXX---2183238_3","XXX---2183238_3_11",18,4,1,71400.000,71400.000,false,false,4,1,71400.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"135467",munich_resident,pt,pt,PT_BOARDED_NOT_ARRIVED,6540.000,65261.000,65261.000,107539.000,"6892.4","7309",true,true,"tr_2595","XXX---162455_109","XXX---162455_109_5",48,14,0,86160.000,13140.000,false,true,14,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1356822",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,16440.000,73040.000,73040.000,99760.000,"106060","106117.4",true,true,"tr_40051","XXX---2271997_1","XXX---2271997_1_15",541,90,0,89220.000,68700.000,false,true,90,0,,TRANSFER_MISSED_AFTER_DELAY,false
"137976",munich_resident,pt,pt,PT_NEVER_BOARDED,15411.000,67568.000,67568.000,105232.000,"107981","108202.1",false,false,"","","",106,26,0,92280.000,15510.000,false,true,26,0,,NO_COMPATIBLE_CONNECTION,false
"1410507",regional_background,pt,pt,PT_NEVER_BOARDED,12652.000,82315.000,82315.000,90485.000,"71057","84680.4",false,false,"","","",8,0,0,68100.000,51060.000,true,true,0,0,,NO_LATER_SERVICE,false
"1413097",regional_background,walk,pt,PT_NEVER_BOARDED,73298.000,73298.000,73298.000,99502.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1415258",regional_background,walk,pt,PT_NEVER_BOARDED,56992.000,56992.000,56992.000,115808.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1420635",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,24300.000,57348.000,57348.000,115452.000,"69779.1","156095",true,true,"tr_38942","XXX---2271027_3","XXX---2271027_3_12",3,0,0,25080.000,25080.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1423976",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,62700.000,70991.000,70991.000,101809.000,"101695","127832",true,true,"tr_112","XXX---161788_2","XXX---161788_2_19",13,0,0,65466.000,65466.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"142582",munich_resident,pt,pt,PT_NEVER_BOARDED,14283.000,74249.000,74249.000,98551.000,"106480.1","106384",false,false,"","","",3,0,0,15630.000,15630.000,true,true,0,0,,NO_LATER_SERVICE,false
"1427757",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,62700.000,63284.000,63284.000,109516.000,"101695","127832",true,true,"tr_113","XXX---161788_2","XXX---161788_2_20",13,1,1,65466.000,65466.000,false,false,1,1,65466.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1433921",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,21780.000,73908.000,73908.000,98892.000,"101826","127782",true,true,"tr_115","XXX---161788_2","XXX---161788_2_21",2,0,0,41760.000,41760.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1444384",regional_background,pt,pt,PT_NEVER_BOARDED,16595.000,58221.000,58221.000,114579.000,"12112","11744.5",false,false,"","","",34,10,0,81000.000,18720.000,false,true,10,0,,NO_COMPATIBLE_CONNECTION,false
"1454504",regional_background,pt,pt,PT_NEVER_BOARDED,21720.000,21720.000,21720.000,151080.000,"101803.3","102460.2",false,false,"","","",63,61,23,85260.000,85260.000,false,false,61,23,21720.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"1474804",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,23100.000,63133.000,63133.000,109667.000,"164945","145996",true,true,"tr_6985","XXX---2183223_3","XXX---2183223_3_8",13,3,0,68280.000,59400.000,false,true,3,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1482361",regional_background,pt,pt,PT_NEVER_BOARDED,12294.000,103945.000,103945.000,68855.000,"128130","128362.2",false,false,"","","",13,0,0,74640.000,66480.000,true,true,0,0,,NO_LATER_SERVICE,false
"149994",munich_resident,pt,pt,PT_NEVER_BOARDED,10404.000,86803.000,86803.000,85997.000,"149451","108550",false,false,"","","",6,0,0,15120.000,15120.000,true,true,0,0,,NO_LATER_SERVICE,false
"1505154",regional_background,pt,pt,PT_NEVER_BOARDED,16835.000,86545.000,86545.000,86255.000,"169021","4171",false,false,"","","",35,0,0,85740.000,72120.000,true,true,0,0,,NO_LATER_SERVICE,false
"151112",munich_resident,pt,pt,PT_BOARDED_NOT_ARRIVED,22380.000,76340.000,76340.000,96460.000,"106062","109217",true,true,"tr_3267","XXX---162460_109","XXX---162460_109_16",350,40,0,90900.000,70080.000,false,true,40,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1514017",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,64560.000,72873.000,72873.000,99927.000,"3555","4340",true,true,"tr_37353","XXX---2270104_3","XXX---2270104_3_0",14,0,0,66360.000,66360.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1515580",regional_background,pt,pt,PT_NEVER_BOARDED,69590.000,76324.000,76324.000,96476.000,"168843","4166.1",false,false,"","","",15,0,0,69900.000,69900.000,true,true,0,0,,NO_LATER_SERVICE,false
"1521951",regional_background,pt,pt,PT_NEVER_BOARDED,76765.000,81636.000,81636.000,91164.000,"3799","4180",false,false,"","","",54,2,2,86880.000,86880.000,false,false,2,2,83280.000,COMPATIBLE_SERVICE_NOT_BOARDED,false
"15278",regional_background,pt,pt,PT_NEVER_BOARDED,21141.000,62416.000,62416.000,110384.000,"4363.1","3548.1",false,false,"","","",5,0,0,29040.000,29040.000,true,true,0,0,,NO_LATER_SERVICE,false
"1538046",unresolved_background,pt,pt,PT_BOARDED_NOT_ARRIVED,56659.000,63651.000,63651.000,109149.000,"102275.1","176005",true,true,"tr_1304","XXX---162424_106","XXX---162424_106_10",7,0,0,61500.000,57600.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"1544",regional_background,walk,pt,PT_NEVER_BOARDED,83774.000,83774.000,83774.000,89026.000,"","",false,false,"","","",0,0,0,,,false,false,0,0,,INSUFFICIENT_EVIDENCE,false
"1561957",regional_background,pt,pt,PT_BOARDED_NOT_ARRIVED,67560.000,69304.000,69304.000,103496.000,"175309","168051",true,true,"tr_34616","XXX---2269694_3","XXX---2269694_3_2",26,0,0,69060.000,69060.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
"157375",munich_resident,pt,pt,PT_NEVER_BOARDED,31019.000,82588.000,82588.000,90212.000,"107823","106092.1",false,false,"","","",149,0,0,80820.000,80820.000,true,true,0,0,,NO_LATER_SERVICE,false
"157720",munich_resident,pt,pt,PT_BOARDED_NOT_ARRIVED,3600.000,40692.000,40692.000,132108.000,"106055","108142",true,true,"tr_3623","XXX---162462_109","XXX---162462_109_26",11,0,0,16770.000,13170.000,true,true,0,0,,TRANSFER_MISSED_AFTER_DELAY,false
